Enumeração,Empresa,Sigla
1,Banco do Brasil,BBAS3
2,Petrobrás,PETR4
3,Taesa,TAEE11
4,BB SEGURIDADE,BBSE3
5,ITAUSA,ITSA4
6,ISA CTEEP,TRPL4
7,Vale,VALE3
8,CEMIG,CMIG4
9,CAIXA SEGURIDADE,CXSE3
10,METALURGICA GERDAU,GOAU4
11,COPEL,CPLE6
12,UNIPAR CARBOCLORO,UNIP6
13,Klabin,KLBN11
14,CSN MINERAÇÃO,CMIN3
15,WEG,WEGE3
16,CELULOSE IRANI,RANI3
17,AUREN ENERGIA S.A,AURE3
18,BRASILAGRO,AGRO3
19,Banco Bradesco,BBDC3
20,COPASA,CSMG3
21,Sanepar,SAPR11
22,AES BRASIL,AESB3
23,ENGIE BRASIL,EGIE3
24,BANCO ABC BRASIL,ABCB4
25,KEPLER WEBER,KEPL3
26,MARFRIG,MRFG3
27,MAHLE-METAL LEVE,LEVE3
28,Banco Itau Unibanco,ITUB4
29,COSAN,CSAN3
30,SANTANDER,SANB11
31,B3,B3SA3
32,GERDAU,GGBR3
33,BRADESPAR,BRAP4
34,BANCO BANRISUL,BRSR6
35,BANCO BMG,BMGB4
36,CPFL ENERGIA,CPFE3
37,VIVO - TELEFÔNICA BRASIL,VIVT3
38,PORTO SEGURO,PSSA3
39,CIA SIDERURGICA NACIONAL,CSNA3
40,INDÚSTRIAS ROMI,ROMI3
41,GRUPO MATEUS, GMAT3
42,VulcaBras,VULC3
43,Curi, CURY3
44,Petrobras,PETR4
45,Vale,VALE3
46,Itau Unibanco,ITUB4
47,Ambev,ABEV3
48,Weg,WEGE3
49,Bradesco,BBDC4
50,Banco do Brasil,BBAS3
51,BTG,BPAC11
52,Santander,BCSA34
53,ITAUSA,ITSA4
